spl_id,set_id,product_names,generic_names,manufacturer,appr_num,active_ingredients,routes,dosage_forms,market_categories,doc_type,revised_date,is_rld,is_rs
7be1c827-e3da-4632-a051-05e48566d733,ff1630b4-2044-433c-96bc-0bb4ae8d42a0,Alprazolam,alprazolam,"Par Health USA, LLC",ANDA078088,ALPRAZOLAM,,"TABLET, ORALLY DISINTEGRATING",,HUMAN PRESCRIPTION DRUG LABEL,2026-03-30,0,1
5088d0a8-f7aa-476c-8cc1-149955781409,2100ec49-57b2-4330-ab5f-057ce9b7e4d0,Liraglutide,liraglutide,Hikma Pharmaceuticals USA Inc.,ANDA215503,LIRAGLUTIDE,,INJECTION,,HUMAN PRESCRIPTION DRUG LABEL,2026-03-30,0,0
0967063c-d31b-41d5-90ec-aefd12e7a327,4425d454-210d-4b9f-88ad-6b32a9e0d3bd,Ciprofloxacin,Ciprofolxacin,Preferred Pharmaceuticals Inc.,ANDA208921,CIPROFLOXACIN HYDROCHLORIDE,,TABLET,,HUMAN PRESCRIPTION DRUG LABEL,2026-03-30,0,0
4e01137e-8d3a-fd36-e063-6294a90a4363,7e400611-7432-4911-8662-1f0a740f76bb,Pravastatin Sodium,Pravastatin Sodium,REMEDYREPACK INC.,ANDA076056,PRAVASTATIN SODIUM,,TABLET,,HUMAN PRESCRIPTION DRUG LABEL,2026-03-27,0,0
00836cdd-f898-4031-85f8-bb58a63b1a9b,14e8f864-8b8a-4e7e-8439-e510d3107063,Ketalar,ketamine hydrochloride,"Par Health USA, LLC",NDA016812,KETAMINE HYDROCHLORIDE,,INJECTION,,HUMAN PRESCRIPTION DRUG LABEL,2026-03-27,1,1
ef3fe5ab-c753-409b-a5f3-b55e3eefd070,6c1f7cd4-de56-45c1-a734-5e77b4aeb6f7,RYTARY,Carbidopa and Levodopa,Amneal Pharmaceuticals LLC,NDA203312,CARBIDOPA HYDRATE; LEVODOPA,,"CAPSULE, EXTENDED RELEASE",,HUMAN PRESCRIPTION DRUG LABEL,2026-03-26,1,1
4df505fa-3ca8-4065-e063-6394a90a9a30,51b8e791-4e9a-4014-b4d8-68fd51ca889f,Fluoxetine,Fluoxetine,"PD-Rx Pharmaceuticals, Inc.",ANDA206993,FLUOXETINE HYDROCHLORIDE,,CAPSULE,,HUMAN PRESCRIPTION DRUG LABEL,2026-03-26,0,0
4df0f7ca-d4d0-7e72-e063-6394a90a74c5,5a0b3dd4-91f5-4173-a992-e91b1cac6a18,Amlodipine Besylate,Amlodipine Besylate,"PD-Rx Pharmaceuticals, Inc.",ANDA076719,AMLODIPINE BESYLATE,,TABLET,,HUMAN PRESCRIPTION DRUG LABEL,2026-03-26,0,0
4df0b57a-090c-2350-e063-6394a90addbe,bdad0b58-495e-2352-e053-2a95a90a3198,Rabeprazole SodiumDR,Rabeprazole Sodium,"Advanced Rx Pharmacy of Tennessee, LLC",ANDA208644,RABEPRAZOLE SODIUM,,"TABLET, DELAYED RELEASE",,HUMAN PRESCRIPTION DRUG LABEL,2026-03-26,0,0
1299ffe9-22b8-40af-8cf3-eca9cfcda21c,310c4b81-d2cf-4014-873d-e71d036105de,Trazodone Hydrochloride,Trazodone Hydrochloride,"NCS HealthCare of KY, LLC dba Vangard Labs",ANDA071523,TRAZODONE HYDROCHLORIDE,,TABLET,,HUMAN PRESCRIPTION DRUG LABEL,2026-03-26,0,0
efbf3c75-cdb2-45e9-a6de-f87546c16d3c,f7f7fade-98a6-4741-bfb9-f1eb54ad4565,Labetalol Hydrochloride,Labetalol Hydrochloride,Bryant Ranch Prepack,ANDA075215,LABETALOL,,"TABLET, FILM COATED",,HUMAN PRESCRIPTION DRUG LABEL,2026-03-25,0,0
d7bf79fc-eb6d-4262-889b-a8582dc89b1f,cc344944-7dad-403e-bfd2-8c649e2fbfb0,Calcitrol,calcitriol,Mayne Pharma Commercial LLC.,NDA022087,CALCITRIOL,,OINTMENT,,HUMAN PRESCRIPTION DRUG LABEL,2026-03-25,1,1
a610bcea-da0a-4f3b-929b-e84e970e30b8,35e7bce0-d9ff-4f8b-95c5-218da2a2d929,Labetalol Hydrochloride,Labetalol Hydrochloride,Bryant Ranch Prepack,ANDA075215,LABETALOL,,"TABLET, FILM COATED",,HUMAN PRESCRIPTION DRUG LABEL,2026-03-25,0,0
98cbf394-a6e4-c79a-a493-2a8ddd58d1a8,4e1f4eb4-19b2-eee8-3402-bd2ccf622791,Decitabine,Decitabine,Dr.Reddy's Laboratories Limited,ANDA203131,Decitabine,,"INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION",,HUMAN PRESCRIPTION DRUG LABEL,2026-03-25,0,1
8911775c-4f88-acf0-5084-e879da9d1cd4,358764ca-4c69-d516-af0c-bf8a348d26ca,Decitabine,Decitabine,Dr. Reddy's Laboratories Inc.,ANDA203131,Decitabine,,"INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION",,HUMAN PRESCRIPTION DRUG LABEL,2026-03-25,0,1
59d59899-30b5-4364-8d7e-2ce7c3c27db2,3909ac9e-6818-4c5d-ad0e-52865a574b45,Labetalol Hydrochloride,Labetalol Hydrochloride,Bryant Ranch Prepack,ANDA075215,LABETALOL,,"TABLET, FILM COATED",,HUMAN PRESCRIPTION DRUG LABEL,2026-03-25,0,0
4de033d6-628d-0d46-e063-6294a90ad04f,96104ea6-c08f-40b5-83f5-d840b317f1fd,Omeprazole,Omeprazole,"PD-Rx Pharmaceuticals, Inc.",ANDA078490,OMEPRAZOLE,,"CAPSULE, DELAYED RELEASE",,HUMAN PRESCRIPTION DRUG LABEL,2026-03-25,0,0
4ddc4263-9996-5e6a-e063-6294a90af0b2,9eb6b0d1-b301-4847-88f5-f8613d550ecc,Olanzapine,Olanzapine,REMEDYREPACK INC.,ANDA202862,OLANZAPINE,,"TABLET, FILM COATED",,HUMAN PRESCRIPTION DRUG LABEL,2026-03-25,0,0
4ddc1bc7-5ca0-f979-e063-6294a90a2422,4ddc1342-5c83-f562-e063-6294a90a29ba,GABAPENTIN,Gabapentin,ST. MARY'S MEDICAL PARK PHARMACY,ANDA214957,GABAPENTIN,,TABLET,,HUMAN PRESCRIPTION DRUG LABEL,2026-03-25,0,0
4ddbd2ee-0572-129c-e063-6394a90a2fbb,daf33244-1348-4c34-b44c-9e35d5c48a3e,Fluoxetine,Fluoxetine,BluePoint Laboratories,ANDA078619,FLUOXETINE HYDROCHLORIDE,,CAPSULE,,HUMAN PRESCRIPTION DRUG LABEL,2026-03-25,0,0
4dd848c1-958d-2d31-e063-6294a90a1ffd,f5113b5e-9087-4397-86bc-5ea10413c429,Sildenafil,Sildenafil,REMEDYREPACK INC.,ANDA202025,SILDENAFIL CITRATE,,TABLET,,HUMAN PRESCRIPTION DRUG LABEL,2026-03-25,0,0
4dd57879-c7db-7079-e063-6294a90abcf7,f3c09979-a44a-4197-97d2-29a207b6fc73,Ranolazine,RANOLAZINE,SunGen Pharma LLC,ANDA212781,RANOLAZINE,,"TABLET, FILM COATED, EXTENDED RELEASE",,HUMAN PRESCRIPTION DRUG LABEL,2026-03-25,0,0
fc0af6c2-4f73-40eb-9130-e61a23976f4c,35030c55-47e6-44cb-9d96-0c3cd5d0c238,Oxycodone Hydrochloride,Oxycodone Hydrochloride,Bryant Ranch Prepack,ANDA207418,OXYCODONE HYDROCHLORIDE,,TABLET,,HUMAN PRESCRIPTION DRUG LABEL,2026-03-24,0,0
f78bb528-02cd-4639-8adb-c1187f6c079d,b6d0f446-cc77-443a-bcee-d5504ab3e5c9,Oxycodone Hydrochloride,Oxycodone Hydrochloride,Bryant Ranch Prepack,ANDA207418,OXYCODONE HYDROCHLORIDE,,TABLET,,HUMAN PRESCRIPTION DRUG LABEL,2026-03-24,0,0
