input_set_id,prior_spl_id,latest_spl_id,prior_is_plr_from_01,latest_is_plr_from_01,both_are_plr_from_01,prior_is_plr_from_xml,latest_is_plr_from_xml,keep_pair_both_plr,prior_contraindications_sections,prior_warnings_sections,prior_adverse_reactions_sections,prior_drug_interactions_sections,latest_contraindications_sections,latest_warnings_sections,latest_adverse_reactions_sections,latest_drug_interactions_sections
ff1630b4-2044-433c-96bc-0bb4ae8d42a0,e4164d25-9eb4-72a8-e053-2a95a90a5d85,7be1c827-e3da-4632-a051-05e48566d733,True,True,True,True,True,True,1,1,3,2,1,2,2,1
7e400611-7432-4911-8662-1f0a740f76bb,5ae18dbc-c969-4751-9700-764eb2c58603,4e01137e-8d3a-fd36-e063-6294a90a4363,True,True,True,True,True,True,1,2,2,2,1,1,3,4
51b8e791-4e9a-4014-b4d8-68fd51ca889f,ebc84746-7766-38a8-e053-2995a90ae36a,4df505fa-3ca8-4065-e063-6394a90a9a30,True,True,True,True,True,True,2,1,4,1,2,2,4,1
5a0b3dd4-91f5-4173-a992-e91b1cac6a18,5a93579c-5d45-4662-b39c-8d93b04f52dc,4df0f7ca-d4d0-7e72-e063-6394a90a74c5,True,True,True,True,True,True,1,4,3,1,1,4,3,3
bdad0b58-495e-2352-e053-2a95a90a3198,44dc5e7c-65e9-48a1-bd7d-876c16c6d80a,4df0b57a-090c-2350-e063-6394a90addbe,True,True,True,True,True,True,2,2,2,1,1,1,1,1
96104ea6-c08f-40b5-83f5-d840b317f1fd,e07af86f-aea6-5a91-e053-2a95a90a3795,4de033d6-628d-0d46-e063-6294a90ad04f,True,True,True,True,True,True,1,3,4,1,1,2,5,1
9eb6b0d1-b301-4847-88f5-f8613d550ecc,df73d27f-b566-7612-e053-2995a90a167d,4ddc4263-9996-5e6a-e063-6294a90af0b2,True,True,True,True,True,True,1,1,5,2,1,2,5,2
4ddc1342-5c83-f562-e063-6294a90a29ba,12e0dcb9-e210-413b-9c77-cdeccd600e82,4ddc1bc7-5ca0-f979-e063-6294a90a2422,True,True,True,True,True,True,1,1,4,1,1,2,5,1
daf33244-1348-4c34-b44c-9e35d5c48a3e,9853c9a4-1176-4ff0-b03e-19f2924fd093,4ddbd2ee-0572-129c-e063-6394a90a2fbb,True,True,True,True,True,True,2,2,4,1,2,2,4,1
35030c55-47e6-44cb-9d96-0c3cd5d0c238,6261bbcf-f814-4219-9954-8f4662cfa9d9,fc0af6c2-4f73-40eb-9130-e61a23976f4c,True,True,True,True,True,True,1,2,3,1,1,2,3,1
b6d0f446-cc77-443a-bcee-d5504ab3e5c9,6261bbcf-f814-4219-9954-8f4662cfa9d9,f78bb528-02cd-4639-8adb-c1187f6c079d,True,True,True,True,True,True,1,2,3,1,1,2,3,1
b687ba81-cb24-bbdf-5dd9-ab0e53dd480b,24733c5a-94ea-400b-8e16-62cf696802b1,4dc870e1-0b0c-9b87-e063-6294a90a1845,True,True,True,True,True,True,1,2,3,3,1,1,3,4
2cbcc99d-9107-4d39-a1e9-e19305de8b5d,55689f10-365b-449e-b224-52363f835529,4dc67a0e-7341-0e58-e063-6294a90a1c6a,True,True,True,True,True,True,1,1,1,1,1,1,1,1
c66de0d3-3b0f-4e52-a712-60357a107676,ef6a8b2a-010d-10dd-e053-2a95a90a1555,4dc53fa6-22ad-c2f5-e063-6394a90a526a,True,True,True,True,True,True,1,1,1,1,1,1,1,1
6a279fe1-ed99-4a62-b2c7-831961470fa9,ebc84746-7764-38a8-e053-2995a90ae36a,4dd1ba70-4209-9711-e063-6294a90ae979,True,True,True,True,True,True,1,1,4,1,1,2,21,6
4db9f4b8-b6df-f6e9-e063-6294a90a9f60,16ea0249-f13e-40ee-a158-ebb217c79ce2,4db9f4b8-b6e0-f6e9-e063-6294a90a9f60,True,True,True,True,True,True,1,2,5,1,1,1,4,1
351e28ca-3ae6-e535-e063-6394a90a9fb7,ebcdf21f-b60e-108b-e053-2995a90adb7a,4db30371-c0ff-29b9-e063-6294a90ad6ff,True,True,True,True,True,True,1,2,3,3,1,1,3,3
56370be6-42a2-4962-acdc-22b7c6e0e7fe,df73a68b-3305-1174-e053-2a95a90afebf,4db2ef95-8537-dfa7-e063-6394a90aaf9b,True,True,True,True,True,True,1,1,5,1,2,2,5,1
ac80d018-6abf-2e41-ddea-90b4ff9e9013,8c734b50-3369-df0f-8a18-5bd1bdf51093,3f0a2fa1-9b69-588d-f3f8-f2af5561edd0,True,True,True,True,True,True,1,1,3,1,1,1,3,1
e13f05f1-7d21-49bb-b8d5-24bf9301c3d7,9b8673fb-1f94-4491-9afe-2d782c79ab0a,fdafd090-bed3-4f16-8ab1-fd1573aa633e,True,True,True,True,True,True,1,1,1,1,1,1,1,1
bb06af33-8ff7-0b02-0029-d628f62e1382,9853c9a4-1176-4ff0-b03e-19f2924fd093,badb7357-a634-40dc-97d6-e18aeaa3c1b3,True,True,True,True,True,True,2,2,4,1,2,2,4,1
3ccada47-7eb9-285d-5059-06afb4466114,9853c9a4-1176-4ff0-b03e-19f2924fd093,6aceb68e-92a2-4e39-b95b-569d30c70ce3,True,True,True,True,True,True,2,2,4,1,2,2,4,1
643e177f-216d-4dfa-824a-7516a488304e,aab4e662-7458-41e6-b420-276d64c164a1,4d7d9800-75a8-5017-e063-6294a90ac45a,True,True,True,True,True,True,1,1,3,1,1,2,6,1
4a2bad30-e7cf-c48a-e063-6294a90a5f47,24733c5a-94ea-400b-8e16-62cf696802b1,4d7d8098-7987-1350-e063-6394a90a2398,True,True,True,True,True,True,1,2,3,3,1,1,3,4
632ddd78-9e76-4230-944d-dff85d945238,d60feb9c-08c2-7a56-e053-2995a90a7892,4d754776-5d90-8e80-e063-6394a90a045e,True,True,True,True,True,True,1,1,1,1,1,1,3,4
c2dc2109-44a6-4797-b04e-18761dd9d45a,528a86ce-1037-944a-e934-15846984dd73,471e97b5-a75c-4901-be57-f77ad6a7856f,True,True,True,True,True,True,1,1,5,1,1,1,4,2
e8fd7b0e-22b9-4f8a-8eb2-41d5031779af,b8df8208-820e-72a9-e053-2a95a90ae5cd,0d2e4dbd-fa3b-488d-82f3-561b153984b0,True,True,True,True,True,True,1,1,3,1,1,1,2,1
1cc7d482-5d45-4621-9ffc-cd3f7c54614d,b1f3d842-7902-4887-bd41-819a54b19f64,ca5262d4-3072-4a53-83e0-435a4d3ca608,True,True,True,True,True,True,1,1,6,4,1,1,6,4
77d5c10a-0cfc-4b89-942c-0fb5c67ae409,14464dfb-94a5-43a1-923e-d462b7ade131,c289ffae-421b-4fa3-b4d5-9ccd1d7cecc6,True,True,True,True,True,True,2,3,5,1,2,2,4,1
7ff89589-149c-4007-8144-5f60131b8c33,6714ab49-287c-460f-84c6-4a2eb909b896,ba15b069-82f1-4008-8f78-5d657918b3ad,True,True,True,True,True,True,1,1,1,1,1,2,1,1
d09173a1-5e3c-4c86-8c7c-15238925ef50,5a93579c-5d45-4662-b39c-8d93b04f52dc,4d664c6a-08f3-91bd-e063-6394a90aac1c,True,True,True,True,True,True,1,4,3,1,1,1,3,1
3b41cd15-9981-4d44-9c4b-e84168d86453,b8dfa252-0f9d-9e68-e053-2995a90a7596,4d66300d-2dc6-87b6-e063-6394a90a4871,True,True,True,True,True,True,1,1,2,1,1,1,2,1
a519e355-84f0-40d1-b586-e6e8eadb5b0f,d60feb9c-08c2-7a56-e053-2995a90a7892,4d6614ca-f6dc-0920-e063-6294a90ad547,True,True,True,True,True,True,1,1,1,1,1,1,3,4
260dc37d-6e64-4688-82dc-10a1a428af17,8de025d9-0481-49cb-bc55-fbcd96436de0,4d65e768-faa2-1d32-e063-6394a90a93dd,True,True,True,True,True,True,1,2,3,1,1,2,3,1
eca923da-59fa-da2e-e053-2a95a90a6a51,aab4e662-7458-41e6-b420-276d64c164a1,4d64347e-0afc-1844-e063-6394a90a02c4,True,True,True,True,True,True,1,1,3,1,1,1,1,1
afc83432-8fce-6d2a-e053-2a95a90ae73f,130f4b5b-eefe-4ce6-8555-c872a8082c17,4d628103-5e90-0a21-e063-6394a90a484e,True,True,True,True,True,True,1,1,4,1,1,1,1,1
3b9b15f7-354b-4049-982b-f6f31751a885,d9b54ffb-864f-1ca8-e053-2995a90a5144,4d622f0c-9f42-a920-e063-6394a90a0f73,True,True,True,True,True,True,1,1,7,1,1,2,7,1
8ee94789-72d2-4c42-9dbd-0501e9767d97,55689f10-365b-449e-b224-52363f835529,4d5f7647-df9a-fb4f-e063-6294a90a0ee7,True,True,True,True,True,True,1,1,1,1,1,1,1,1
1a7d2f44-b578-4d99-a4ff-f267626064d0,8c0f31c8-d8b7-453f-9cd9-041942311040,337c9f18-b85b-4423-b16c-cded0f6ca361,True,True,True,True,True,True,1,1,6,4,1,1,6,4
7f20976d-bed3-4a06-9aaf-f5b5240e4ce3,aab4e662-7458-41e6-b420-276d64c164a1,7f20976d-bed3-4a06-9aaf-f5b5240e4ce3,True,True,True,True,True,True,1,1,3,1,1,2,6,1
09c6c750-ae05-459f-83e8-4a9e4fd85212,24733c5a-94ea-400b-8e16-62cf696802b1,4d526b67-b106-ed9a-e063-6394a90a5af9,True,True,True,True,True,True,1,2,3,3,1,1,3,4
3fed2817-fc0d-43cd-9f02-948fbc76672c,c75c0bb6-fe3e-43c6-bdde-edd904731795,4d51b7fa-92f9-1fdd-e063-6394a90af262,True,True,True,True,True,True,1,1,2,1,1,1,2,1
17050df5-9e95-4e1b-ac75-34add289b139,2f692050-7ea1-49b8-a19d-3b0134b7aa2a,4d516be1-a3c2-b794-e063-6394a90afb7e,True,True,True,True,True,True,1,1,2,1,1,1,2,1
a822d44d-c651-406c-a2b9-aa8fbe8f89ce,e5ab6651-9d45-4c0d-9c8c-6845054f4991,a43227b5-2dc1-40bf-a9cb-b564d480b897,True,True,True,True,True,True,1,1,3,0,1,1,3,0
5a29687b-5294-4b27-a556-514b092a877d,528a86ce-1037-944a-e934-15846984dd73,6cdb2cd7-3d68-4e1b-bb74-c3bd808a28a4,True,True,True,True,True,True,1,1,5,1,1,1,8,1
cd2c1226-fa19-4734-b62d-89fea73dcb0d,528a86ce-1037-944a-e934-15846984dd73,63f67d96-85b5-47bd-932e-62f09e64d6af,True,True,True,True,True,True,1,1,5,1,1,1,8,1
32afb28a-dc4c-4a7e-9701-1825f805e7df,9853c9a4-1176-4ff0-b03e-19f2924fd093,4d3e5d39-a74d-85aa-e063-6294a90aa28c,True,True,True,True,True,True,2,2,4,1,2,2,4,1
c172a767-eb26-4995-b2a2-f3c5e87b4943,d61122ee-7e38-7d22-e053-2a95a90a2611,4d3b1449-8aaa-4caf-e063-6394a90a8a01,True,True,True,True,True,True,1,1,1,1,1,1,1,1
dc633b7d-5154-7e43-e053-2a95a90ad2a6,c479da04-f3f7-fa5f-e053-2995a90a9ef8,4d3a5007-c37f-70b6-e063-6394a90acf0c,True,True,True,True,True,True,1,1,3,1,1,1,3,1
45d33807-88b2-4b42-9c86-e5b05d7adec1,528a86ce-1037-944a-e934-15846984dd73,4d32fc20-a85a-ae84-e063-6294a90ade10,True,True,True,True,True,True,1,1,5,1,1,1,2,1
4d34f8f3-edc8-0a68-e063-6394a90a9c1f,ebc84746-7764-38a8-e053-2995a90ae36a,4d2e9776-65f4-cb00-e063-6394a90a1bf7,True,True,True,True,True,True,1,1,4,1,1,2,21,5
1d4c6858-5b2f-f216-e063-6394a90aad5d,f4ac9961-cccd-4838-8612-361b4084bafd,4d2b8a5c-2f5f-60c0-e063-6394a90aa48a,True,True,True,True,True,True,1,1,3,1,1,1,3,1
20516384-6517-48be-bd6e-718250878a76,9853c9a4-1176-4ff0-b03e-19f2924fd093,4d2844dd-7bf2-65b0-e063-6294a90a6a88,True,True,True,True,True,True,2,2,4,1,2,2,4,1
4d1b83db-54db-d51f-e063-6394a90a4a69,77d3d923-8571-4523-8e69-234ebeb7a5fd,4d1b8476-a9ab-067a-e063-6294a90a57c0,True,True,True,True,True,True,1,1,3,1,1,3,17,6
4bc96d0c-b484-3cee-e063-6294a90a9193,aab4e662-7458-41e6-b420-276d64c164a1,4d1a2742-47c3-9c75-e063-6294a90aca73,True,True,True,True,True,True,1,1,3,1,1,2,3,1
d09a2eda-fdd8-44ed-8e2f-ea91ddfd3c68,d303d298-6012-49a4-aff0-ff0f0aeadb1b,f29c53d8-6d87-41c0-b511-7c539466d583,True,True,True,True,True,True,1,1,1,1,1,1,1,1
d1d0872c-5b11-4e13-a401-b122348e0fa7,94e04b33-dff1-3364-e053-2a95a90aba21,4cfac314-25b0-c9c4-e063-6394a90a85e2,True,True,True,True,True,True,1,1,1,1,1,1,3,1
c8bf92c9-1bab-7985-e053-2995a90a0225,d61c347b-4222-e018-e053-2995a90a4f4f,4cf007cf-ee50-ce69-e063-6394a90a971a,True,True,True,True,True,True,1,1,1,1,1,1,1,1
b354053c-cb83-79c6-e053-2a95a90afdbe,44dc5e7c-65e9-48a1-bd7d-876c16c6d80a,4ceff784-d22b-ca0b-e063-6294a90aa061,True,True,True,True,True,True,2,2,2,1,1,1,1,1
af9ce58c-3cd7-769f-e053-2a95a90a5385,d61122ee-7e38-7d22-e053-2a95a90a2611,4ceff67f-3d7e-b947-e063-6394a90a83e4,True,True,True,True,True,True,1,1,1,1,1,1,1,1
e830f488-c689-40f6-9351-f9c7454ff1ea,46cd719f-a6bc-4b3b-8ef5-860896fb787d,4cea88ac-1bb0-219b-e063-6394a90ab089,True,True,True,True,True,True,1,2,17,5,1,1,5,2
61eb57a9-5df2-4426-9f0c-a75e2f356b11,a279dd0a-b4f9-4b28-8d1c-1c4d58fefa7c,4ce97296-8459-d216-e063-6394a90a1f42,True,True,True,True,True,True,1,1,6,2,1,1,3,0
d8ddcec5-debe-42b4-a803-e65917cc6a54,db4788b4-a23c-5ed7-e053-2995a90a48d1,4ce95252-8c9b-2246-e063-6294a90a8b25,True,True,True,True,True,True,1,1,3,1,1,1,3,1
d57720ab-9f83-4da9-a57f-0d55e00a605c,24733c5a-94ea-400b-8e16-62cf696802b1,4ce7cec6-a460-e609-e063-6294a90a4b9b,True,True,True,True,True,True,1,2,3,3,1,1,3,4
bef27fa1-7876-4ce3-834c-a4855aec66c9,e844a4cf-bbac-21a0-e053-2995a90a1f6c,3539e475-18c8-423e-89b3-048879e60f56,True,True,True,True,True,True,1,1,3,1,1,2,3,1
8709cbe7-3de1-4908-a0a9-53002bcee15b,b3ea8ff0-0539-46fc-9ab6-aa6e8cb72549,8143c6b3-7c13-4abe-af2a-23fbe3e6d48a,True,True,True,True,True,True,1,2,3,1,1,2,3,1
59084f59-9a9b-49f0-a9f4-27f3eab9a228,b87823c8-5dc9-4558-b145-b4b4ff8a7d25,4cd77f47-a8ee-d06d-e063-6394a90a5661,True,True,True,True,True,True,1,1,4,1,1,1,4,1
3f1c3083-91d1-488c-ad07-b198fda21da6,55160086-9335-4d4b-bfc9-bb77270e0bb5,4cd5cd7e-84c7-c8d8-e063-6294a90aa736,True,True,True,True,True,True,1,1,1,1,1,1,1,1
14191e0d-8219-4f6e-b808-09c4804a8262,df73a68b-3305-1174-e053-2a95a90afebf,44534c80-f9dc-4e97-82b1-c8fbebb2b21f,True,True,True,True,True,True,1,1,5,1,1,1,5,1
e07af8c9-559c-5a93-e053-2a95a90a2c63,e07af86f-aea6-5a91-e053-2a95a90a3795,4cc65188-16cc-8814-e063-6394a90a0fc8,True,True,True,True,True,True,1,3,4,1,1,3,4,1
9c68f89b-1d34-4735-9631-817f012935d7,d610062d-3995-dec3-e053-2995a90a9ca1,4cc2fbda-eb50-c09c-e063-6394a90a9315,True,True,True,True,True,True,1,1,1,1,1,1,2,1
