drug_name,dilirank_compound,dili_concern,dili_severity_class,max_daily_dose_mg,dose_basis,dose_note,dose_review_status,route,pubchem_cid,inchikey,smiles,mol_weight,pubchem_xlogp3,paper_logp,paper_ro2_test
orlistat,orlistat,Most-DILI-Concern,,360,chen-2013,,published,oral,3034010,AHLBNYSZXLDEJQ-FWEHEUNISA-N,CCCCCCCCCCC[C@@H](C[C@H]1[C@@H](C(=O)O1)CCCCCC)OC(=O)[C@H](CC(C)C)NC=O,495.7,10,8.3,Positive
tipranavir,tipranavir,Most-DILI-Concern,,1000,chen-2013,,published,oral,54682461,SUJUHGSWHZTSEU-FYBSXPHGSA-N,CCC[C@]1(CC(=C(C(=O)O1)[C@H](CC)C2=CC(=CC=C2)NS(=O)(=O)C3=NC=C(C=C3)C(F)(F)F)O)CCC4=CC=CC=C4,602.7,7,7.4,Positive
amiodarone,amiodarone,Most-DILI-Concern,,200,chen-2013,,published,oral,2157,IYIKLHRQXLHMJQ-UHFFFAOYSA-N,CCCCC1=C(C2=CC=CC=C2O1)C(=O)C3=CC(=C(C(=C3)I)OCCN(CC)CC)I,645.3,7.6,7.2,Positive
perhexiline,perhexiline,Most-DILI-Concern,,400,chen-2013,,published,oral,4746,CYXKNKQEMFBLER-UHFFFAOYSA-N,C1CCC(CC1)C(CC2CCCCN2)C3CCCCC3,277.5,6.8,5.7,Positive
troglitazone,troglitazone,Most-DILI-Concern,,400,chen-2013,,published,oral,5591,GXPHKUHSUJUWKP-UHFFFAOYSA-N,CC1=C(C2=C(CCC(O2)(C)COC3=CC=C(C=C3)CC4C(=O)NC(=O)S4)C(=C1O)C)C,441.5,5.1,5.7,Positive
suloctidil,suloctidil,Most-DILI-Concern,,500,chen-2013,,published,oral,6604413,BFCDFTHTSVTWOG-PXNSSMCTSA-N,CCCCCCCCN[C@@H](C)[C@@H](C1=CC=C(C=C1)SC(C)C)O,337.6,5.8,5.7,Positive
benzbromarone,benzbromarone,Most-DILI-Concern,,100,chen-2013,,published,oral,2333,WHQCHUCQKNIQEC-UHFFFAOYSA-N,CCC1=C(C2=CC=CC=C2O1)C(=O)C3=CC(=C(C(=C3)Br)O)Br,424.1,5.7,5.6,Positive
disulfiram,disulfiram,Most-DILI-Concern,,200,chen-2013,,published,oral,3117,AUZONCFQVSMFAP-UHFFFAOYSA-N,CCN(CC)C(=S)SSC(=S)N(CC)CC,296.5,3.9,5.6,Positive
verapamil,verapamil,Most-DILI-Concern,,240,chen-2013,,published,oral,2520,SGTNSNPWRIOYBX-UHFFFAOYSA-N,CC(C)C(CCCN(C)CCC1=CC(=C(C=C1)OC)OC)(C#N)C2=CC(=C(C=C2)OC)OC,454.6,3.8,5.5,Positive
alpidem,alpidem,Most-DILI-Concern,,150,chen-2013,,published,oral,54897,JRTIDHTUMYMPRU-UHFFFAOYSA-N,CCCN(CCC)C(=O)CC1=C(N=C2N1C=C(C=C2)Cl)C3=CC=C(C=C3)Cl,404.3,4.8,5.5,Positive
lapatinib,lapatinib,Most-DILI-Concern,,1800,chen-2013,,published,oral,208908,BCFGMOOMADDAQU-UHFFFAOYSA-N,CS(=O)(=O)CCNCC1=CC=C(O1)C2=CC3=C(C=C2)N=CN=C3NC4=CC(=C(C=C4)OCC5=CC(=CC=C5)F)Cl,581.1,5.1,5.4,Positive
terbinafine,terbinafine,Most-DILI-Concern,,250,chen-2013,,published,oral,1549008,DOMXUEMWDBAQBQ-WEVVVXLNSA-N,CC(C)(C)C#C/C=C/CN(C)CC1=CC=CC2=CC=CC=C21,291.4,5.6,5.3,Positive
benziodarone,benziodarone,Most-DILI-Concern,,250,chen-2013,,published,oral,6237,CZCHIEJNWPNBDE-UHFFFAOYSA-N,CCC1=C(C2=CC=CC=C2O1)C(=O)C3=CC(=C(C(=C3)I)O)I,518.08,5.6,5.3,Positive
cyclofenil,cyclofenil,Most-DILI-Concern,,140,chen-2013,,published,oral,2898,GVOUFPWUYJWQSK-UHFFFAOYSA-N,CC(=O)OC1=CC=C(C=C1)C(=C2CCCCC2)C3=CC=C(C=C3)OC(=O)C,364.4,5.5,5.2,Positive
ritonavir,ritonavir,Most-DILI-Concern,,1200,chen-2013,,published,oral,392622,NCDNCNXCDXHOMX-XGKFQTDJSA-N,CC(C)C1=NC(=CS1)CN(C)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](CC2=CC=CC=C2)C[C@@H]([C@H](CC3=CC=CC=C3)NC(=O)OCC4=CN=CS4)O,720.9,6,5.0,Positive
danazol,danazol,Most-DILI-Concern,,600,chen-2013,,published,oral,28417,POZRVZJJTULAOH-LHZXLZLDSA-N,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@]2(C#C)O)CCC4=CC5=C(C[C@]34C)C=NO5,337.5,3.8,4.9,Positive
mepazine,mepazine,Most-DILI-Concern,,100,chen-2013,,published,oral,6075,CBHCDHNUZWWAPP-UHFFFAOYSA-N,CN1CCCC(C1)CN2C3=CC=CC=C3SC4=CC=CC=C42,310.5,5.6,4.6,Positive
nefazodone,nefazodone,Most-DILI-Concern,,400,chen-2013,,published,oral,4449,VRBKIVRKKCLPHA-UHFFFAOYSA-N,CCC1=NN(C(=O)N1CCOC2=CC=CC=C2)CCCN3CCN(CC3)C4=CC(=CC=C4)Cl,470.0,4.3,4.4,Positive
lumiracoxib,lumiracoxib,Most-DILI-Concern,,100,chen-2013,,published,oral,151166,KHPKQFYUPIUARC-UHFFFAOYSA-N,CC1=CC(=C(C=C1)NC2=C(C=CC=C2Cl)F)CC(=O)O,293.72,4.2,4.4,Positive
diclofenac,diclofenac,Most-DILI-Concern,,100,chen-2013,,published,oral,3033,DCOPUUMXTXDBNB-UHFFFAOYSA-N,C1=CC=C(C(=C1)CC(=O)O)NC2=C(C=CC=C2Cl)Cl,296.1,4.4,4.4,Positive
benzarone,benzarone,Most-DILI-Concern,,100,chen-2013,,published,oral,255968,RFRXIWQYSOIBDI-UHFFFAOYSA-N,CCC1=C(C2=CC=CC=C2O1)C(=O)C3=CC=C(C=C3)O,266.29,4.3,4.1,Positive
