"TABLE_NAME"	"INDEX_NAME"	"INDEX_TYPE"	"UNIQUENESS"	"STATUS"	"VISIBILITY"	"PARTITIONED"	"COLUMN_POSITION"	"COLUMN_NAME"	"DESCEND"	"COLUMN_EXPRESSION"	"BLEVEL"	"LEAF_BLOCKS"	"DISTINCT_KEYS"	"AVG_LEAF_BLOCKS_PER_KEY"	"AVG_DATA_BLOCKS_PER_KEY"	"CLUSTERING_FACTOR"	"NUM_ROWS"	"SAMPLE_SIZE"	"LAST_ANALYZED"
"ARCHIVED_SPL"	"IX_ARCHIVEDSPL_CRTLOADNUM"	"NORMAL"	"NONUNIQUE"	"VALID"	"VISIBLE"	"NO"	1	"CREATED_LOAD_NUM"	"ASC"	""	2	1179	678	1	497	337360	496558	496558	22-NOV-25
"ARCHIVED_SPL"	"IX_ARCHIVEDSPL_GUID"	"NORMAL"	"NONUNIQUE"	"VALID"	"VISIBLE"	"NO"	1	"GUID"	"ASC"	""	2	4465	496558	1	1	487368	496558	496558	22-NOV-25
"ARCHIVED_SPL"	"IX_ARCHIVEDSPL_LOADNUM"	"NORMAL"	"NONUNIQUE"	"VALID"	"VISIBLE"	"NO"	1	"ARCHIVED_LOAD_NUM"	"ASC"	""	2	1115	494	2	74	36703	496558	496558	22-NOV-25
"ARCHIVED_SPL"	"IX_ARCHIVEDSPL_MD5"	"NORMAL"	"NONUNIQUE"	"VALID"	"VISIBLE"	"NO"	1	"SPL_MD5"	"ASC"	""	2	5059	487616	1	1	496541	496558	496558	22-NOV-25
"ARCHIVED_SPL"	"IX_ARCHIVEDSPL_SETID"	"NORMAL"	"NONUNIQUE"	"VALID"	"VISIBLE"	"NO"	1	"SET_ID"	"ASC"	""	2	5256	177808	1	2	494406	496558	496558	22-NOV-25
"ARCHIVED_SPL"	"PK_ARCHIVED_SPL"	"NORMAL"	"UNIQUE"	"VALID"	"VISIBLE"	"NO"	1	"ID"	"ASC"	""	2	1149	496558	1	1	458120	496558	496558	22-NOV-25
"ARCHIVED_SPL_ANN"	"IX_ARCHSPLANN_SPLID"	"NORMAL"	"NONUNIQUE"	"VALID"	"VISIBLE"	"NO"	1	"SPL_ID"	"ASC"	""	0	0	0	0	0	0	0	0	13-OCT-22
"ARCHIVED_SPL_ANN"	"PK_ARCHSPLANN"	"NORMAL"	"UNIQUE"	"VALID"	"VISIBLE"	"NO"	1	"ID"	"ASC"	""	0	0	0	0	0	0	0	0	13-OCT-22
"ARCHIVED_SPL_ATT"	"IX_ARCHSPLATT_SPLIDLNUM"	"NORMAL"	"NONUNIQUE"	"VALID"	"VISIBLE"	"NO"	1	"SPL_ID"	"ASC"	""	2	4249	500896	1	1	506655	1710414	1710414	29-NOV-25
"ARCHIVED_SPL_ATT"	"PK_ARCHSPLATT"	"NORMAL"	"UNIQUE"	"VALID"	"VISIBLE"	"NO"	1	"SPL_ID"	"ASC"	""	2	10488	1710414	1	1	539890	1710414	1710414	29-NOV-25
